region,lat,lng,nodos,golden
Region8,14.672237,-92.372411,2,81
Region9,14.72125,-92.424092,1,62
Region8,14.786464,-92.366149,2,75
Region8,14.86819,-92.31247,1,100
Region8,14.870808,-92.285629,1,100
Region8,14.872318,-92.255422,1,100
Region9,14.882432,-92.265694,2,43.5
Region8,14.884318,-92.236211,1,100
Region9,14.888274,-92.250312,2,81
Region8,14.888703,-92.283492,2,81
Region8,14.888722,-92.30675,1,100
Region8,14.897066,-92.273271,1,100
Region9,14.90059,-92.245424,1,62
Region9,14.908463,-92.264864,2,37.5
Region8,14.912987,-92.194014,1,100
Region8,14.91409,-92.24498,1,100
Region9,14.922312,-92.251487,1,62
Region8,14.931955,-92.271767,3,79
Region9,15.0128333,-92.3923389,2,43.5
Region8,15.136646,-92.475729,1,100
Region9,15.1477889,-92.4513972,1,50
Region4,15.415807,-92.830655,2,12
Region8,15.575861,-93.044389,1,100
Region8,15.68827,-93.208948,2,75
Region3,15.715469,-96.473639,2,6
Region8,15.765747,-93.3354493,1,100
Region5,15.85368,-97.04787,1,62
Region9,15.86275,-93.45225,1,62
Region8,15.928722,-93.56525,1,100
Region9,15.999389,-93.657694,1,50
Region5,16.056364,-93.735947,1,62
Region8,16.094621,-93.752766,2,81
Region7,16.17091,-95.20487,1,25
Region8,16.178921,-95.242715,1,100
Region7,16.18454,-95.190085,1,25
Region7,16.205628,-95.195467,1,25
Region7,16.216586,-95.204931,1,25
Region8,16.230813,-93.897395,2,75
Region8,16.31903,-95.25085,1,100
Region7,16.33296,-98.05235,1,25
Region7,16.33722,-98.04225,1,62
Region4,16.38004,-93.86099,2,12
Region9,16.4426343,-95.0203878,1,87
Region6,16.560781,-93.019562,1,62
Region4,16.598323,-95.026386,2,12
Region9,16.609338,-93.04007,1,25
Region4,16.64483,-93.764152,2,12
Region8,16.684136,-93.726249,1,100
Region5,16.708361,-93.012361,1,100
Region5,16.70858,-93.01237,1,100
Region9,16.7269083,-92.6539222,1,50
Region9,16.732484,-93.040335,1,62
Region8,16.733275,-92.644209,2,81
Region7,16.735833,-99.732045,2,81
Region5,16.736194,-93.114222,1,62
Region7,16.737389,-93.084167,2,75
Region7,16.7378444,-92.6885778,1,25
Region5,16.738785,-93.13498,1,100
Region9,16.740415,-93.181711,1,50
Region5,16.741713,-92.626579,1,100
Region6,16.746692,-93.082167,1,62
Region9,16.746797,-93.120822,2,81
Region8,16.749658,-93.169472,2,81
Region9,16.752211,-93.181617,1,62
Region9,16.753131,-93.104219,1,62
Region9,16.7538694,-93.1169,1,87
Region6,16.754801,-93.149708,3,70.6666666667
Region8,16.755391,-93.081938,2,81
Region9,16.759328,-93.376001,2,43.5
Region5,16.7611333,-99.7518389,1,62
Region9,16.761669,-93.131344,1,62
Region8,16.762097,-93.160303,3,87.3333333333
Region8,16.7634222,-93.064875,2,37
Region8,16.763522,-93.112744,1,100
Region8,16.764039,-93.142657,1,100
Region6,16.76597,-93.11476,1,62
Region7,16.767583,-99.763917,1,100
Region9,16.768098,-99.77011,1,50
Region9,16.768249,-99.78757,1,62
Region7,16.7701722,-99.7757879,1,100
Region8,16.774308,-99.776165,1,100
Region7,16.777093,-99.790748,1,100
Region8,16.781622,-93.117547,2,81
Region9,16.783054,-99.804421,2,37.5
Region6,16.783189,-93.178884,1,75
Region8,16.78562,-93.101054,3,83.3333333333
Region6,16.7862,-99.794553,1,12
Region8,16.7876472,-93.2723167,1,100
Region5,16.788603,-99.798806,3,45.6666666667
Region7,16.78915,-99.81485,1,100
Region1,16.790965,-99.820943,1,62
Region7,16.794325,-99.799373,1,100
Region8,16.79637,-99.811735,1,100
Region5,16.799444,-99.808806,2,62
Region7,16.802707,-99.822429,1,100
Region8,16.815589,-99.855177,1,100
Region9,16.815929,-99.856166,2,43.5
Region7,16.816013,-99.802957,1,25
Region8,16.816614,-99.852925,2,100
Region7,16.81675,-99.8531111,1,25
Region7,16.821033,-99.834736,1,100
Region6,16.822833,-99.812389,1,12
Region7,16.8292747,-99.8598997,1,100
Region7,16.831083,-99.902278,1,100
Region9,16.8318667,-99.7788667,2,81
Region7,16.8329783,-99.9075989,1,100
Region4,16.837778,-99.896867,2,18.5
Region4,16.840505,-99.912065,1,12
Region9,16.842778,-99.849722,1,62
Region7,16.8444436,-99.8456431,1,100
Region9,16.8456833,-99.8110333,1,62
Region9,16.8493439,-99.9056469,1,87
Region7,16.8516278,-99.9174444,1,100
Region9,16.853792,-99.909664,1,62
Region7,16.855528,-99.852085,1,100
Region9,16.8564333,-99.8960333,1,50
Region7,16.85685,-99.86782,1,100
Region7,16.8578011,-99.8954411,1,100
Region9,16.8590167,-99.90865,1,62
Region8,16.861244,-99.881856,3,100
Region5,16.8621333,-99.8641167,1,37
Region9,16.8626611,-99.8833583,1,62
Region9,16.863454,-99.882269,1,62
Region5,16.863993,-99.923463,1,100
Region7,16.864872,-99.877564,1,12
Region7,16.867151,-99.904244,1,100
Region9,16.868,-99.86214,1,62
Region9,16.8689167,-99.8691667,1,87
Region7,16.871627,-99.890255,1,100
Region7,16.8741658,-99.8700258,1,100
Region9,16.875278,-99.817222,1,100
Region6,16.87734,-99.88344,1,75
Region7,16.877396,-99.854602,1,100
Region8,16.877398,-99.854739,1,100
Region9,16.878056,-99.9,1,50
Region9,16.882167,-99.945306,1,50
Region7,16.8849611,-99.8451167,1,100
Region9,16.885308,-99.840853,1,62
Region7,16.8858911,-99.9534458,1,100
Region7,16.8916406,-99.8342175,1,100
Region7,16.89921,-99.750112,1,100
Region7,16.90005,-99.820845,1,100
Region7,16.90042,-99.83892,1,100
Region9,16.9021778,-92.0966861,1,87
Region9,16.90355,-99.975157,2,81
Region9,16.907641,-99.832417,1,50
Region7,16.9121167,-99.9552667,1,100
Region7,16.91252,-99.80542,1,100
Region7,16.91327,-99.82266,1,100
Region9,16.91469,-96.36427,1,62
Region7,16.922193,-99.962492,2,81
Region9,16.9234,-99.82345,1,50
Region9,16.925493,-99.814046,1,50
Region9,16.9287,-96.70324,1,62
Region7,17.0106667,-100.0861222,2,75
Region9,17.020942,-96.711204,1,62
Region5,17.02289,-96.73072,1,62
Region9,17.0322575,-97.9308308,1,50
Region6,17.047684,-96.642183,1,62
Region6,17.0501,-96.72854,1,62
Region6,17.059838,-96.724403,1,75
Region6,17.060476,-96.723001,1,75
Region6,17.060961,-96.719728,2,75
Region6,17.0619972,-96.7241028,2,75
Region6,17.071125,-96.676006,2,75
Region6,17.0741667,-96.715,1,12
Region9,17.080393,-96.712344,1,62
